RUN	scala.simulations.ObtenerZorros	obtenerzorros	1683840324837	 	3.3.1
USER	Usuario Estandar	381	START	1683840326098	1683840326098
USER	Usuario Estandar	383	START	1683840326098	1683840326098
USER	Usuario Estandar	382	START	1683840326098	1683840326098
USER	Usuario Estandar	384	START	1683840326098	1683840326098
USER	Usuario Estandar	385	START	1683840326098	1683840326098
USER	Usuario Estandar	386	START	1683840326098	1683840326098
USER	Usuario Estandar	388	START	1683840326098	1683840326098
USER	Usuario Estandar	387	START	1683840326098	1683840326098
USER	Usuario Estandar	389	START	1683840326098	1683840326098
USER	Usuario Estandar	390	START	1683840326099	1683840326099
USER	Usuario Estandar	391	START	1683840326099	1683840326099
USER	Usuario Estandar	393	START	1683840326099	1683840326099
USER	Usuario Estandar	392	START	1683840326099	1683840326099
USER	Usuario Estandar	394	START	1683840326099	1683840326099
USER	Usuario Estandar	395	START	1683840326099	1683840326099
USER	Usuario Estandar	396	START	1683840326099	1683840326099
USER	Usuario Estandar	397	START	1683840326099	1683840326099
USER	Usuario Estandar	399	START	1683840326099	1683840326099
USER	Usuario Estandar	398	START	1683840326099	1683840326099
USER	Usuario Estandar	401	START	1683840326099	1683840326099
USER	Usuario Estandar	402	START	1683840326099	1683840326099
USER	Usuario Estandar	403	START	1683840326099	1683840326099
USER	Usuario Estandar	404	START	1683840326099	1683840326099
USER	Usuario Estandar	405	START	1683840326099	1683840326099
USER	Usuario Estandar	406	START	1683840326099	1683840326099
USER	Usuario Estandar	407	START	1683840326099	1683840326099
USER	Usuario Estandar	409	START	1683840326099	1683840326099
USER	Usuario Estandar	410	START	1683840326099	1683840326099
USER	Usuario Estandar	408	START	1683840326099	1683840326099
USER	Usuario Estandar	411	START	1683840326099	1683840326099
USER	Usuario Estandar	413	START	1683840326100	1683840326100
USER	Usuario Estandar	414	START	1683840326100	1683840326100
USER	Usuario Estandar	412	START	1683840326100	1683840326100
USER	Usuario Estandar	400	START	1683840326099	1683840326099
USER	Usuario Estandar	415	START	1683840326100	1683840326100
USER	Usuario Estandar	416	START	1683840326100	1683840326100
USER	Usuario Estandar	417	START	1683840326100	1683840326100
USER	Usuario Estandar	419	START	1683840326100	1683840326100
USER	Usuario Estandar	418	START	1683840326100	1683840326100
USER	Usuario Estandar	420	START	1683840326100	1683840326100
USER	Usuario Estandar	422	START	1683840326100	1683840326100
USER	Usuario Estandar	421	START	1683840326100	1683840326100
USER	Usuario Estandar	423	START	1683840326100	1683840326100
USER	Usuario Estandar	424	START	1683840326100	1683840326100
USER	Usuario Estandar	426	START	1683840326100	1683840326100
USER	Usuario Estandar	425	START	1683840326100	1683840326100
USER	Usuario Estandar	427	START	1683840326100	1683840326100
USER	Usuario Estandar	428	START	1683840326100	1683840326100
USER	Usuario Estandar	429	START	1683840326100	1683840326100
USER	Usuario Estandar	430	START	1683840326100	1683840326100
USER	Usuario Estandar	432	START	1683840326100	1683840326100
USER	Usuario Estandar	431	START	1683840326100	1683840326100
USER	Usuario Estandar	433	START	1683840326101	1683840326101
USER	Usuario Estandar	434	START	1683840326101	1683840326101
USER	Usuario Estandar	435	START	1683840326101	1683840326101
USER	Usuario Estandar	436	START	1683840326101	1683840326101
USER	Usuario Estandar	437	START	1683840326101	1683840326101
USER	Usuario Estandar	438	START	1683840326101	1683840326101
USER	Usuario Estandar	440	START	1683840326101	1683840326101
USER	Usuario Estandar	439	START	1683840326101	1683840326101
USER	Usuario Estandar	441	START	1683840326101	1683840326101
USER	Usuario Estandar	443	START	1683840326101	1683840326101
USER	Usuario Estandar	447	START	1683840326108	1683840326108
USER	Usuario Estandar	448	START	1683840326108	1683840326108
USER	Usuario Estandar	444	START	1683840326101	1683840326101
USER	Usuario Estandar	450	START	1683840326109	1683840326109
USER	Usuario Estandar	451	START	1683840326109	1683840326109
USER	Usuario Estandar	452	START	1683840326109	1683840326109
USER	Usuario Estandar	453	START	1683840326109	1683840326109
USER	Usuario Estandar	455	START	1683840326109	1683840326109
USER	Usuario Estandar	442	START	1683840326101	1683840326101
USER	Usuario Estandar	456	START	1683840326109	1683840326109
USER	Usuario Estandar	457	START	1683840326109	1683840326109
USER	Usuario Estandar	458	START	1683840326109	1683840326109
USER	Usuario Estandar	459	START	1683840326109	1683840326109
USER	Usuario Estandar	460	START	1683840326109	1683840326109
USER	Usuario Estandar	454	START	1683840326109	1683840326109
USER	Usuario Estandar	461	START	1683840326110	1683840326110
USER	Usuario Estandar	464	START	1683840326110	1683840326110
USER	Usuario Estandar	465	START	1683840326110	1683840326110
USER	Usuario Estandar	449	START	1683840326108	1683840326108
USER	Usuario Estandar	466	START	1683840326110	1683840326110
USER	Usuario Estandar	463	START	1683840326110	1683840326110
USER	Usuario Estandar	468	START	1683840326110	1683840326110
USER	Usuario Estandar	467	START	1683840326110	1683840326110
USER	Usuario Estandar	470	START	1683840326110	1683840326110
USER	Usuario Estandar	471	START	1683840326110	1683840326110
USER	Usuario Estandar	472	START	1683840326111	1683840326111
USER	Usuario Estandar	474	START	1683840326111	1683840326111
USER	Usuario Estandar	462	START	1683840326110	1683840326110
USER	Usuario Estandar	475	START	1683840326111	1683840326111
USER	Usuario Estandar	476	START	1683840326111	1683840326111
USER	Usuario Estandar	477	START	1683840326111	1683840326111
USER	Usuario Estandar	478	START	1683840326111	1683840326111
USER	Usuario Estandar	480	START	1683840326111	1683840326111
USER	Usuario Estandar	479	START	1683840326111	1683840326111
USER	Usuario Estandar	482	START	1683840326112	1683840326112
USER	Usuario Estandar	14	START	1683840326004	1683840326004
USER	Usuario Estandar	2	START	1683840325997	1683840325997
USER	Usuario Estandar	1	START	1683840325997	1683840325997
USER	Usuario Estandar	485	START	1683840326112	1683840326112
USER	Usuario Estandar	481	START	1683840326111	1683840326111
USER	Usuario Estandar	486	START	1683840326112	1683840326112
USER	Usuario Estandar	487	START	1683840326112	1683840326112
USER	Usuario Estandar	488	START	1683840326112	1683840326112
USER	Usuario Estandar	489	START	1683840326112	1683840326112
USER	Usuario Estandar	6	START	1683840325998	1683840325998
USER	Usuario Estandar	491	START	1683840326113	1683840326113
USER	Usuario Estandar	490	START	1683840326112	1683840326112
USER	Usuario Estandar	492	START	1683840326113	1683840326113
USER	Usuario Estandar	493	START	1683840326113	1683840326113
USER	Usuario Estandar	494	START	1683840326113	1683840326113
USER	Usuario Estandar	495	START	1683840326113	1683840326113
USER	Usuario Estandar	496	START	1683840326113	1683840326113
USER	Usuario Estandar	469	START	1683840326110	1683840326110
USER	Usuario Estandar	497	START	1683840326113	1683840326113
USER	Usuario Estandar	498	START	1683840326113	1683840326113
USER	Usuario Estandar	499	START	1683840326113	1683840326113
USER	Usuario Estandar	484	START	1683840326112	1683840326112
USER	Usuario Estandar	503	START	1683840326114	1683840326114
USER	Usuario Estandar	502	START	1683840326114	1683840326114
USER	Usuario Estandar	501	START	1683840326114	1683840326114
USER	Usuario Estandar	504	START	1683840326114	1683840326114
USER	Usuario Estandar	506	START	1683840326114	1683840326114
USER	Usuario Estandar	505	START	1683840326114	1683840326114
USER	Usuario Estandar	507	START	1683840326114	1683840326114
USER	Usuario Estandar	510	START	1683840326114	1683840326114
USER	Usuario Estandar	509	START	1683840326114	1683840326114
